wall_time_s,state_time_ms,loop_iter,participant_id,side,boot_id,phase,weight_kg,test_mode,approach,t_rise,t_fall,t_peak,peak_torque_norm,kp_cur,ki_cur,kd_cur,ff_cur,kp_pos,ki_pos,kd_pos,accelx,accely,accelz,gyrox,gyroy,gyroz_signed,mot_ang_raw,mot_ang_zeroed,mot_vel,mot_cur_meas_mA,mot_volt_mV,ank_ang_raw,ank_ang_zeroed,ank_vel,ank_vel_filt,batt_volt_mV,batt_curr_mA,temp_C,status_mn,status_ex,status_re,controller_mode,gains_mode,tau_Nm,current_cmd_mA,wm_wa,mot_pos_setpoint,mot_pos_error,num_gait,percent_gait,expected_dur_ms,current_dur_ms,hs_armed,armed_time_ms,refractory_ms,seg_trigger,arm_thr,trg_thr,stride_idx_in_phase
0.0000,92316,0,B1,R,C6D9,Familiarization,75,rise_time,from_above,25.3,10.3,51.3,0.12,40,250,0,128,100,20,35,-392,-8250,722,-48,19,1,-10223,-490,-2,2,0,4085,-57,0,0.0,37227,305,27,79,0,0,idle_no_slack,current,0.0000,-800.0,12.080,0,10223,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
0.0104,92326,1,B1,R,C6D9,Familiarization,75,rise_time,from_above,25.3,10.3,51.3,0.12,40,250,0,128,100,20,35,-380,-8268,742,-44,13,-4,-10225,-488,-3,5,-304,4086,-58,0,0.0,37225,304,27,79,0,0,idle_no_slack,current,0.0000,-800.0,12.079,0,10225,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
0.0209,92336,2,B1,R,C6D9,Familiarization,75,rise_time,from_above,25.3,10.3,51.3,0.12,40,250,0,128,100,20,35,-356,-8214,1020,-46,167,192,-10285,-428,-188,-713,-608,4080,-52,0,0.0,37227,305,27,79,0,0,idle_no_slack,current,0.0000,-800.0,12.085,0,10285,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
0.0313,92346,3,B1,R,C6D9,Familiarization,75,rise_time,from_above,25.3,10.3,51.3,0.12,40,250,0,128,100,20,35,-1450,-8050,962,-99,466,303,-10379,-334,-201,-841,-520,4071,-43,0,0.0,37225,305,27,79,0,0,idle_no_slack,current,0.0000,-800.0,12.092,0,10379,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
0.0416,92356,4,B1,R,C6D9,Familiarization,75,rise_time,from_above,25.3,10.3,51.3,0.12,40,250,0,128,100,20,35,-874,-8350,922,-153,605,318,-10445,-268,-128,-827,-376,4061,-33,-1,-0.09131490043583196,37222,305,27,79,0,0,idle_no_slack,current,0.0000,-800.0,12.101,0,10445,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
0.0519,92366,5,B1,R,C6D9,Familiarization,75,rise_time,from_above,25.3,10.3,51.3,0.12,40,250,0,128,100,20,35,10,-8124,916,-125,355,247,-10474,-239,-42,-835,-248,4053,-25,0,-0.27233808805694154,37214,318,27,79,0,0,idle_no_slack,current,0.0000,-800.0,12.107,0,10474,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
0.0621,92376,6,B1,R,C6D9,Familiarization,75,rise_time,from_above,25.3,10.3,51.3,0.12,40,250,0,128,100,20,35,1744,-8260,178,-46,-45,-19,-10471,-242,14,-800,-232,4052,-24,0,-0.3271143849111663,37215,323,27,79,0,0,idle_no_slack,current,0.0000,-800.0,12.108,0,10471,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
0.0724,92386,7,B1,R,C6D9,Familiarization,75,rise_time,from_above,25.3,10.3,51.3,0.12,40,250,0,128,100,20,35,64,-8244,444,-16,-101,-88,-10471,-242,10,-798,-232,4053,-25,0,-0.22667653782833924,37218,332,27,79,0,0,idle_no_slack,current,0.0000,-800.0,12.107,0,10471,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
0.0826,92396,8,B1,R,C6D9,Familiarization,75,rise_time,from_above,25.3,10.3,51.3,0.12,40,250,0,128,100,20,35,-972,-8192,748,-25,-11,-41,-10467,-246,4,-800,-216,4053,-25,0,-0.10896199213249556,37221,334,27,79,0,0,idle_no_slack,current,0.0000,-800.0,12.107,0,10467,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
0.0928,92406,9,B1,R,C6D9,Familiarization,75,rise_time,from_above,25.3,10.3,51.3,0.12,40,250,0,128,100,20,35,-914,-8244,926,-26,90,18,-10470,-243,-7,-805,-240,4054,-26,0,-0.028237304271883895,37220,334,27,79,0,0,idle_no_slack,current,0.0000,-800.0,12.107,0,10470,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
