wall_time_s,state_time_ms,loop_iter,participant_id,side,boot_id,phase,weight_kg,test_mode,approach,t_rise,t_fall,t_peak,peak_torque_norm,kp_cur,ki_cur,kd_cur,ff_cur,kp_pos,ki_pos,kd_pos,accelx,accely,accelz,gyrox,gyroy,gyroz_signed,mot_ang_raw,mot_ang_zeroed,mot_vel,mot_cur_meas_mA,mot_volt_mV,ank_ang_raw,ank_ang_zeroed,ank_vel,ank_vel_filt,batt_volt_mV,batt_curr_mA,temp_C,status_mn,status_ex,status_re,controller_mode,gains_mode,tau_Nm,current_cmd_mA,wm_wa,mot_pos_setpoint,mot_pos_error,num_gait,percent_gait,expected_dur_ms,current_dur_ms,hs_armed,armed_time_ms,refractory_ms,seg_trigger,arm_thr,trg_thr,stride_idx_in_phase
0.0000,106429,0,LM1,L,C719,Familiarization,68,rise_time,from_above,25.3,10.3,51.3,0.12,40,400,0,128,100,20,35,-844,-8172,640,-50,9,-26,27553,-2939,-4,0,0,4402,-58,0,0.0,36933,55,28,79,0,0,idle_no_slack,current,0.0000,800.0,12.517,0,-27553,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
0.0158,106449,1,LM1,L,C719,Familiarization,68,rise_time,from_above,25.3,10.3,51.3,0.12,40,400,0,128,100,20,35,-708,-8200,640,-54,16,-45,27561,-2931,38,340,384,4401,-59,0,0.0,36934,54,28,79,0,0,idle_no_slack,current,0.0000,800.0,12.517,0,-27561,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
0.0261,106459,2,LM1,L,C719,Familiarization,68,rise_time,from_above,25.3,10.3,51.3,0.12,40,400,0,128,100,20,35,-918,-8160,570,-47,34,-34,27674,-2818,326,705,1032,4400,-60,0,0.0,36930,66,28,79,0,0,idle_no_slack,current,0.0000,800.0,12.517,0,-27674,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
0.0363,106469,3,LM1,L,C719,Familiarization,68,rise_time,from_above,25.3,10.3,51.3,0.12,40,400,0,128,100,20,35,-774,-8178,582,-55,31,-44,27904,-2588,576,776,1672,4399,-61,0,0.0,36925,87,28,79,0,0,idle_no_slack,current,0.0000,800.0,12.516,0,-27904,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
0.0467,106479,4,LM1,L,C719,Familiarization,68,rise_time,from_above,25.3,10.3,51.3,0.12,40,400,0,128,100,20,35,-796,-8194,658,-48,22,-39,28258,-2234,868,824,2416,4398,-62,0,0.0,36922,94,28,79,0,0,idle_no_slack,current,0.0000,800.0,12.516,0,-28258,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
0.0571,106489,5,LM1,L,C719,Familiarization,68,rise_time,from_above,25.3,10.3,51.3,0.12,40,400,0,128,100,20,35,-772,-8202,606,-56,6,-27,28733,-1759,1120,836,2936,4397,-63,0,0.0,36921,119,28,79,0,0,idle_no_slack,current,0.0000,800.0,12.515,0,-28733,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
0.0675,106499,6,LM1,L,C719,Familiarization,68,rise_time,from_above,25.3,10.3,51.3,0.12,40,400,0,128,100,20,35,-770,-8150,630,-50,10,-13,29323,-1169,1372,815,3496,4398,-62,0,0.0,36907,135,28,79,0,0,idle_no_slack,current,0.0000,800.0,12.516,0,-29323,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
0.0778,106519,7,LM1,L,C719,Familiarization,68,rise_time,from_above,25.3,10.3,51.3,0.12,40,400,0,128,100,20,35,3796,-9326,998,-312,-1414,1385,30458,-34,764,894,1112,4450,-10,3,0.2739447013074959,36887,145,28,79,0,0,idle_no_slack,current,0.0000,800.0,12.534,0,-30458,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
0.0881,106529,8,LM1,L,C719,Familiarization,68,rise_time,from_above,25.3,10.3,51.3,0.12,40,400,0,128,100,20,35,-1254,-7704,824,-150,-434,917,30491,-1,-183,748,40,4459,-1,0,0.8170142641708247,36899,119,28,79,0,0,idle_no_slack,current,0.0000,800.0,12.537,0,-30491,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
0.0984,106539,9,LM1,L,C719,Familiarization,68,rise_time,from_above,25.3,10.3,51.3,0.12,40,400,0,128,100,20,35,-10160,-7074,1206,-226,134,445,30403,-89,-99,772,272,4457,-3,0,0.9813431547334988,36914,84,28,79,0,0,idle_no_slack,current,0.0000,800.0,12.536,0,-30403,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
