wall_time_s,state_time_ms,loop_iter,participant_id,side,boot_id,phase,weight_kg,test_mode,approach,t_rise,t_fall,t_peak,peak_torque_norm,kp_cur,ki_cur,kd_cur,ff_cur,kp_pos,ki_pos,kd_pos,accelx,accely,accelz,gyrox,gyroy,gyroz_signed,mot_ang_raw,mot_ang_zeroed,mot_vel,mot_cur_meas_mA,mot_volt_mV,ank_ang_raw,ank_ang_zeroed,ank_vel,ank_vel_filt,batt_volt_mV,batt_curr_mA,temp_C,status_mn,status_ex,status_re,controller_mode,gains_mode,tau_Nm,current_cmd_mA,wm_wa,mot_pos_setpoint,mot_pos_error,num_gait,percent_gait,expected_dur_ms,current_dur_ms,hs_armed,armed_time_ms,refractory_ms,seg_trigger,arm_thr,trg_thr,stride_idx_in_phase
0.0000,38058,0,LM2,R,C6D9,Familiarization,80,rise_time,from_above,25.3,10.3,51.3,0.12,40,400,0,128,100,20,35,820,-8286,176,-87,106,-35,-14720,-417,-5,0,0,3690,-39,0,0.0,36929,309,28,79,0,0,idle_no_slack,current,0.0000,-800.0,12.337,0,14720,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
0.0107,38068,1,LM2,R,C6D9,Familiarization,80,rise_time,from_above,25.3,10.3,51.3,0.12,40,400,0,128,100,20,35,836,-8264,168,-84,73,-39,-14719,-418,5,-2,0,3690,-39,0,0.0,36934,310,28,79,0,0,idle_no_slack,current,0.0000,-800.0,12.337,0,14719,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
0.0209,38078,2,LM2,R,C6D9,Familiarization,80,rise_time,from_above,25.3,10.3,51.3,0.12,40,400,0,128,100,20,35,1496,-7920,178,-79,123,68,-14752,-385,-139,-753,-432,3688,-37,0,0.0,36938,307,28,79,0,0,idle_no_slack,current,0.0000,-800.0,12.338,0,14752,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
0.0312,38088,3,LM2,R,C6D9,Familiarization,80,rise_time,from_above,25.3,10.3,51.3,0.12,40,400,0,128,100,20,35,-666,-8374,254,-98,271,176,-14831,-306,-179,-805,-408,3682,-31,0,0.0,36929,318,28,79,0,0,idle_no_slack,current,0.0000,-800.0,12.340,0,14831,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
0.0414,38108,4,LM2,R,C6D9,Familiarization,80,rise_time,from_above,25.3,10.3,51.3,0.12,40,400,0,128,100,20,35,1446,-8150,190,-88,290,206,-14916,-221,-58,-795,-328,3669,-18,0,0.0,36928,334,28,79,0,0,idle_no_slack,current,0.0000,-800.0,12.344,0,14916,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
0.0517,38118,5,LM2,R,C6D9,Familiarization,80,rise_time,from_above,25.3,10.3,51.3,0.12,40,400,0,128,100,20,35,1834,-8198,-92,-70,104,127,-14949,-188,-78,-804,-320,3664,-13,0,0.0,36933,341,28,79,0,0,idle_no_slack,current,0.0000,-800.0,12.346,0,14949,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
0.0619,38128,6,LM2,R,C6D9,Familiarization,80,rise_time,from_above,25.3,10.3,51.3,0.12,40,400,0,128,100,20,35,1360,-8294,202,-34,-20,-34,-14953,-184,15,-814,-216,3664,-13,0,0.0,36934,328,28,79,0,0,idle_no_slack,current,0.0000,-800.0,12.346,0,14953,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
0.0723,38138,7,LM2,R,C6D9,Familiarization,80,rise_time,from_above,25.3,10.3,51.3,0.12,40,400,0,128,100,20,35,992,-8118,60,-39,-25,-42,-14950,-187,-2,-796,-264,3666,-15,0,0.0,36929,318,28,79,0,0,idle_no_slack,current,0.0000,-800.0,12.345,0,14950,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
0.0825,38148,8,LM2,R,C6D9,Familiarization,80,rise_time,from_above,25.3,10.3,51.3,0.12,40,400,0,128,100,20,35,356,-8326,104,-25,38,-3,-14951,-186,0,-802,-248,3666,-15,0,0.0,36930,310,28,79,0,0,idle_no_slack,current,0.0000,-800.0,12.345,0,14951,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
0.0928,38158,9,LM2,R,C6D9,Familiarization,80,rise_time,from_above,25.3,10.3,51.3,0.12,40,400,0,128,100,20,35,672,-8194,24,-29,73,31,-14949,-188,4,-800,-248,3664,-13,0,0.0,36934,315,28,79,0,0,idle_no_slack,current,0.0000,-800.0,12.346,0,14949,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
0.1031,38168,10,LM2,R,C6D9,Familiarization,80,rise_time,from_above,25.3,10.3,51.3,0.12,40,400,0,128,100,20,35,1050,-8246,114,-8,48,23,-14952,-185,-3,-800,-248,3665,-14,0,0.0,36926,320,28,79,0,0,idle_no_slack,current,0.0000,-800.0,12.346,0,14952,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
0.1146,38178,11,LM2,R,C6D9,Familiarization,80,rise_time,from_above,25.3,10.3,51.3,0.12,40,400,0,128,100,20,35,1016,-8266,224,-7,23,4,-14953,-184,-5,-805,-240,3664,-13,0,0.0,36925,317,28,79,0,0,idle_no_slack,current,0.0000,-800.0,12.346,0,14953,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
0.1251,38188,12,LM2,R,C6D9,Familiarization,80,rise_time,from_above,25.3,10.3,51.3,0.12,40,400,0,128,100,20,35,706,-8256,340,-18,20,3,-14953,-184,-2,-800,-232,3664,-13,0,0.0,36925,317,28,79,0,0,idle_no_slack,current,0.0000,-800.0,12.346,0,14953,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
0.1359,38198,13,LM2,R,C6D9,Familiarization,80,rise_time,from_above,25.3,10.3,51.3,0.12,40,400,0,128,100,20,35,576,-8240,324,-20,36,24,-14952,-185,0,-800,-240,3666,-15,0,0.0,36928,308,28,79,0,0,idle_no_slack,current,0.0000,-800.0,12.345,0,14952,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
0.1462,38208,14,LM2,R,C6D9,Familiarization,80,rise_time,from_above,25.3,10.3,51.3,0.12,40,400,0,128,100,20,35,754,-8248,198,-31,48,53,-14954,-183,-10,-802,-240,3664,-13,0,0.0,36928,323,28,79,0,0,idle_no_slack,current,0.0000,-800.0,12.346,0,14954,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
0.1567,38218,15,LM2,R,C6D9,Familiarization,80,rise_time,from_above,25.3,10.3,51.3,0.12,40,400,0,128,100,20,35,920,-8260,142,-30,42,57,-14957,-180,-5,-797,-240,3665,-14,0,0.0,36925,326,28,79,0,0,idle_no_slack,current,0.0000,-800.0,12.346,0,14957,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
0.1672,38228,16,LM2,R,C6D9,Familiarization,80,rise_time,from_above,25.3,10.3,51.3,0.12,40,400,0,128,100,20,35,1016,-8232,28,-18,31,46,-14963,-174,-14,-797,-264,3664,-13,0,0.0,36924,322,28,79,0,0,idle_no_slack,current,0.0000,-800.0,12.346,0,14963,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
0.1777,38238,17,LM2,R,C6D9,Familiarization,80,rise_time,from_above,25.3,10.3,51.3,0.12,40,400,0,128,100,20,35,830,-8226,66,-4,34,49,-14973,-164,-27,-796,-288,3663,-12,0,0.0,36931,317,28,79,0,0,idle_no_slack,current,0.0000,-800.0,12.346,0,14973,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
0.1882,38248,18,LM2,R,C6D9,Familiarization,80,rise_time,from_above,25.3,10.3,51.3,0.12,40,400,0,128,100,20,35,698,-8270,154,1,43,75,-14992,-145,-45,-796,-288,3663,-12,0,0.0,36931,323,28,79,0,0,idle_no_slack,current,0.0000,-800.0,12.346,0,14992,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
0.1986,38258,19,LM2,R,C6D9,Familiarization,80,rise_time,from_above,25.3,10.3,51.3,0.12,40,400,0,128,100,20,35,666,-8328,212,-6,77,72,-15006,-131,-18,-806,-248,3661,-10,0,0.0,36926,328,28,79,0,0,idle_no_slack,current,0.0000,-800.0,12.347,0,15006,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
0.2089,38268,20,LM2,R,C6D9,Familiarization,80,rise_time,from_above,25.3,10.3,51.3,0.12,40,400,0,128,100,20,35,1224,-8198,244,-3,41,39,-15007,-130,5,-798,-256,3660,-9,0,0.0,36922,323,28,79,0,0,idle_no_slack,current,0.0000,-800.0,12.347,0,15007,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
0.2192,38278,21,LM2,R,C6D9,Familiarization,80,rise_time,from_above,25.3,10.3,51.3,0.12,40,400,0,128,100,20,35,1224,-8238,274,-10,23,22,-15011,-126,-6,-801,-272,3661,-10,0,0.0,36928,316,28,79,0,0,idle_no_slack,current,0.0000,-800.0,12.347,0,15011,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
0.2295,38288,22,LM2,R,C6D9,Familiarization,80,rise_time,from_above,25.3,10.3,51.3,0.12,40,400,0,128,100,20,35,802,-8240,326,-22,8,4,-15013,-124,-2,-802,-248,3660,-9,0,0.0,36932,330,28,79,0,0,idle_no_slack,current,0.0000,-800.0,12.347,0,15013,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
0.2399,38298,23,LM2,R,C6D9,Familiarization,80,rise_time,from_above,25.3,10.3,51.3,0.12,40,400,0,128,100,20,35,814,-8200,212,-28,35,9,-15016,-121,-2,-801,-256,3660,-9,0,0.0,36927,323,28,79,0,0,idle_no_slack,current,0.0000,-800.0,12.347,0,15016,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
