wall_time_s,state_time_ms,loop_iter,participant_id,side,boot_id,phase,weight_kg,test_mode,approach,t_rise,t_fall,t_peak,peak_torque_norm,kp_cur,ki_cur,kd_cur,ff_cur,kp_pos,ki_pos,kd_pos,accelx,accely,accelz,gyrox,gyroy,gyroz_signed,mot_ang_raw,mot_ang_zeroed,mot_vel,mot_cur_meas_mA,mot_volt_mV,ank_ang_raw,ank_ang_zeroed,ank_vel,ank_vel_filt,batt_volt_mV,batt_curr_mA,temp_C,status_mn,status_ex,status_re,controller_mode,gains_mode,tau_Nm,current_cmd_mA,wm_wa,mot_pos_setpoint,mot_pos_error,num_gait,percent_gait,expected_dur_ms,current_dur_ms,hs_armed,armed_time_ms,refractory_ms,seg_trigger,arm_thr,trg_thr,stride_idx_in_phase
0.0000,94828,0,LUCY1,R,C6D9,Familiarization,75,rise_time,from_above,25.3,10.3,51.3,0.12,40,400,0,128,100,20,35,-596,-8240,812,-49,37,-13,-8439,-852,3,-2,0,4230,-65,0,0.0,37188,293,28,79,0,0,idle_no_slack,current,0.0000,-800.0,11.950,0,8439,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
0.0104,94848,1,LUCY1,R,C6D9,Familiarization,75,rise_time,from_above,25.3,10.3,51.3,0.12,40,400,0,128,100,20,35,-280,-8260,760,-52,44,-20,-8461,-830,-118,-508,-528,4229,-64,0,0.0,37192,299,28,79,0,0,idle_no_slack,current,0.0000,-800.0,11.951,0,8461,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
0.0208,94858,2,LUCY1,R,C6D9,Familiarization,75,rise_time,from_above,25.3,10.3,51.3,0.12,40,400,0,128,100,20,35,-510,-8206,804,-54,52,-25,-8623,-668,-451,-718,-1328,4230,-65,0,0.0,37188,296,28,79,0,0,idle_no_slack,current,0.0000,-800.0,11.950,0,8623,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
0.0318,94868,3,LUCY1,R,C6D9,Familiarization,75,rise_time,from_above,25.3,10.3,51.3,0.12,40,400,0,128,100,20,35,-1012,-8790,1366,-74,353,632,-8880,-411,-604,-835,-1544,4224,-59,-1,-0.09131490043583196,37182,289,28,79,0,0,idle_no_slack,current,0.0000,-800.0,11.955,0,8880,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
0.0421,94878,4,LUCY1,R,C6D9,Familiarization,75,rise_time,from_above,25.3,10.3,51.3,0.12,40,400,0,128,100,20,35,-6366,-9296,870,-35,578,563,-9099,-192,-379,-848,-728,4205,-40,-2,-0.45496788892860546,37175,299,28,79,0,0,idle_no_slack,current,0.0000,-800.0,11.973,0,9099,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
0.0523,94888,5,LUCY1,R,C6D9,Familiarization,75,rise_time,from_above,25.3,10.3,51.3,0.12,40,400,0,128,100,20,35,-1182,-7416,802,-295,1446,562,-9168,-123,-74,-825,-280,4186,-21,-2,-1.0544203618967132,37173,303,28,79,0,0,idle_no_slack,current,0.0000,-800.0,11.990,0,9168,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
0.0626,94898,6,LUCY1,R,C6D9,Familiarization,75,rise_time,from_above,25.3,10.3,51.3,0.12,40,400,0,128,100,20,35,1582,-8868,1654,-226,986,486,-9170,-121,-8,-790,-296,4170,-5,-1,-1.5168963842003866,37178,317,28,79,0,0,idle_no_slack,current,0.0000,-800.0,12.005,0,9170,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
0.0731,94908,7,LUCY1,R,C6D9,Familiarization,75,rise_time,from_above,25.3,10.3,51.3,0.12,40,400,0,128,100,20,35,2726,-8004,-414,-82,-57,149,-9210,-81,-117,-779,-440,4164,1,0,-1.4888819256684482,37183,309,28,79,0,0,idle_no_slack,current,0.0000,-800.0,12.010,0,9210,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
0.0834,94918,8,LUCY1,R,C6D9,Familiarization,75,rise_time,from_above,25.3,10.3,51.3,0.12,40,400,0,128,100,20,35,-156,-8208,728,-25,-438,53,-9287,-4,-179,-777,-544,4161,4,0,-1.02662874910472,37186,312,28,79,0,0,idle_no_slack,current,0.0000,-800.0,12.013,0,9287,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
0.0937,94928,9,LUCY1,R,C6D9,Familiarization,75,rise_time,from_above,25.3,10.3,51.3,0.12,40,400,0,128,100,20,35,-1974,-8036,522,74,-354,53,-9340,49,-79,-840,-280,4161,4,0,-0.4909333079169871,37184,299,28,79,0,0,idle_no_slack,current,0.0000,-800.0,12.013,0,9340,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
0.1040,94938,10,LUCY1,R,C6D9,Familiarization,75,rise_time,from_above,25.3,10.3,51.3,0.12,40,400,0,128,100,20,35,-1198,-8098,668,14,-21,75,-9341,50,15,-805,-216,4162,3,0,-0.1253724363038926,37190,287,28,79,0,0,idle_no_slack,current,0.0000,-800.0,12.012,0,9341,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
0.1143,94948,11,LUCY1,R,C6D9,Familiarization,75,rise_time,from_above,25.3,10.3,51.3,0.12,40,400,0,128,100,20,35,-212,-8284,886,1,118,150,-9345,54,-27,-792,-272,4162,3,0,0.04751391462176453,37188,277,28,79,0,0,idle_no_slack,current,0.0000,-800.0,12.012,0,9345,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
0.1246,94958,12,LUCY1,R,C6D9,Familiarization,75,rise_time,from_above,25.3,10.3,51.3,0.12,40,400,0,128,100,20,35,-258,-8336,746,-9,107,142,-9364,73,-44,-802,-280,4161,4,0,0.0902656025487945,37189,272,28,79,0,0,idle_no_slack,current,0.0000,-800.0,12.013,0,9364,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
0.1349,94968,13,LUCY1,R,C6D9,Familiarization,75,rise_time,from_above,25.3,10.3,51.3,0.12,40,400,0,128,100,20,35,-204,-8256,698,10,-11,69,-9373,82,-5,-806,-256,4158,7,0,0.07215850697442881,37184,267,28,79,0,0,idle_no_slack,current,0.0000,-800.0,12.016,0,9373,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
0.1452,94978,14,LUCY1,R,C6D9,Familiarization,75,rise_time,from_above,25.3,10.3,51.3,0.12,40,400,0,128,100,20,35,-138,-8202,906,37,-143,44,-9374,83,3,-800,-256,4157,8,0,0.03950670892207605,37177,259,28,79,0,0,idle_no_slack,current,0.0000,-800.0,12.017,0,9374,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
0.1555,94988,15,LUCY1,R,C6D9,Familiarization,75,rise_time,from_above,25.3,10.3,51.3,0.12,40,400,0,128,100,20,35,-160,-8236,922,49,-323,12,-9381,90,-8,-803,-248,4161,4,0,0.013724603892519019,37176,258,28,79,0,0,idle_no_slack,current,0.0000,-800.0,12.013,0,9381,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
0.1659,94998,16,LUCY1,R,C6D9,Familiarization,75,rise_time,from_above,25.3,10.3,51.3,0.12,40,400,0,128,100,20,35,-454,-8218,974,39,-343,0,-9390,99,-22,-802,-256,4166,-1,0,-0.0002519851845569493,37176,263,28,79,0,0,idle_no_slack,current,0.0000,-800.0,12.009,0,9390,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
0.1764,95008,17,LUCY1,R,C6D9,Familiarization,75,rise_time,from_above,25.3,10.3,51.3,0.12,40,400,0,128,100,20,35,-766,-8208,1058,-10,-201,33,-9399,108,-30,-798,-272,4168,-3,0,-0.005019121536562357,37176,267,28,79,0,0,idle_no_slack,current,0.0000,-800.0,12.007,0,9399,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
0.1867,95018,18,LUCY1,R,C6D9,Familiarization,75,rise_time,from_above,25.3,10.3,51.3,0.12,40,400,0,128,100,20,35,-826,-8174,1020,-47,-21,75,-9415,124,-39,-799,-296,4169,-4,0,-0.004843207545148193,37175,269,28,79,0,0,idle_no_slack,current,0.0000,-800.0,12.006,0,9415,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
0.1970,95028,19,LUCY1,R,C6D9,Familiarization,75,rise_time,from_above,25.3,10.3,51.3,0.12,40,400,0,128,100,20,35,-812,-8174,804,-73,136,102,-9431,140,-39,-810,-256,4167,-2,0,-0.003013020278762135,37174,269,28,79,0,0,idle_no_slack,current,0.0000,-800.0,12.008,0,9431,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
0.2073,95038,20,LUCY1,R,C6D9,Familiarization,75,rise_time,from_above,25.3,10.3,51.3,0.12,40,400,0,128,100,20,35,-156,-8252,624,-70,152,89,-9437,146,-16,-801,-256,4164,1,0,-0.0012761929130762017,37174,282,28,79,0,0,idle_no_slack,current,0.0000,-800.0,12.010,0,9437,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
0.2176,95048,21,LUCY1,R,C6D9,Familiarization,75,rise_time,from_above,25.3,10.3,51.3,0.12,40,400,0,128,100,20,35,46,-8256,664,-28,45,54,-9445,154,-19,-799,-264,4163,2,0,-0.00020621642601785267,37181,283,28,79,0,0,idle_no_slack,current,0.0000,-800.0,12.011,0,9445,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
0.2280,95058,22,LUCY1,R,C6D9,Familiarization,75,rise_time,from_above,25.3,10.3,51.3,0.12,40,400,0,128,100,20,35,-176,-8276,720,-18,29,40,-9466,175,-50,-792,-296,4161,4,0,0.0002410999014775612,37183,296,28,79,0,0,idle_no_slack,current,0.0000,-800.0,12.013,0,9466,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
0.2383,95068,23,LUCY1,R,C6D9,Familiarization,75,rise_time,from_above,25.3,10.3,51.3,0.12,40,400,0,128,100,20,35,-956,-8312,900,-26,87,57,-9493,202,-47,-808,-288,4159,6,0,0.00030855225510582733,37183,289,28,79,0,0,idle_no_slack,current,0.0000,-800.0,12.015,0,9493,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
0.2486,95078,24,LUCY1,R,C6D9,Familiarization,75,rise_time,from_above,25.3,10.3,51.3,0.12,40,400,0,128,100,20,35,-692,-8232,1004,-38,77,37,-9497,206,1,-808,-224,4159,6,0,0.00021930143044671628,37177,284,28,79,0,0,idle_no_slack,current,0.0000,-800.0,12.015,0,9497,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
0.2590,95088,25,LUCY1,R,C6D9,Familiarization,75,rise_time,from_above,25.3,10.3,51.3,0.12,40,400,0,128,100,20,35,-160,-8226,908,-56,41,15,-9498,207,-18,-794,-256,4158,7,0,0.0001081700541040548,37176,275,28,79,0,0,idle_no_slack,current,0.0000,-800.0,12.016,0,9498,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
0.2693,95108,26,LUCY1,R,C6D9,Familiarization,75,rise_time,from_above,25.3,10.3,51.3,0.12,40,400,0,128,100,20,35,-430,-8230,782,-62,13,-24,-9499,208,0,-798,-256,4159,6,0,3.0023369384866655e-05,37183,279,28,79,0,0,idle_no_slack,current,0.0000,-800.0,12.015,0,9499,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
