wall_time_s,state_time_ms,loop_iter,participant_id,side,boot_id,phase,weight_kg,test_mode,approach,t_rise,t_fall,t_peak,peak_torque_norm,kp_cur,ki_cur,kd_cur,ff_cur,kp_pos,ki_pos,kd_pos,accelx,accely,accelz,gyrox,gyroy,gyroz_signed,mot_ang_raw,mot_ang_zeroed,mot_vel,mot_cur_meas_mA,mot_volt_mV,ank_ang_raw,ank_ang_zeroed,ank_vel,ank_vel_filt,batt_volt_mV,batt_curr_mA,temp_C,status_mn,status_ex,status_re,controller_mode,gains_mode,tau_Nm,current_cmd_mA,wm_wa,mot_pos_setpoint,mot_pos_error,num_gait,percent_gait,expected_dur_ms,current_dur_ms,hs_armed,armed_time_ms,refractory_ms,seg_trigger,arm_thr,trg_thr,stride_idx_in_phase
0.0000,32027,0,MAX7,L,C719,Familiarization,95,rise_time,from_above,25.3,10.3,51.3,0.12,40,250,0,128,100,20,35,-392,-8184,918,-46,10,8,28924,-424,-4,6,0,4328,-31,0,0.0,37429,72,25,144,0,0,idle_no_slack,current,0.0000,800.0,12.484,0,-28924,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
0.0172,32047,1,MAX7,L,C719,Familiarization,95,rise_time,from_above,25.3,10.3,51.3,0.12,40,250,0,128,100,20,35,-1106,-7778,968,-62,-14,157,28979,-369,194,720,560,4331,-28,0,0.0,37422,75,25,144,0,0,idle_no_slack,current,0.0000,800.0,12.486,0,-28979,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
0.0284,32057,2,MAX7,L,C719,Familiarization,95,rise_time,from_above,25.3,10.3,51.3,0.12,40,250,0,128,100,20,35,902,-8060,1206,-62,-142,322,29102,-246,283,784,688,4339,-20,0,0.0,37419,89,25,144,0,0,idle_no_slack,current,0.0000,800.0,12.490,0,-29102,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
0.0391,32067,3,MAX7,L,C719,Familiarization,95,rise_time,from_above,25.3,10.3,51.3,0.12,40,250,0,128,100,20,35,862,-8196,1178,-81,-218,343,29203,-145,176,848,408,4348,-11,0,0.0,37416,85,25,144,0,0,idle_no_slack,current,0.0000,800.0,12.494,0,-29203,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
0.0498,32077,4,MAX7,L,C719,Familiarization,95,rise_time,from_above,25.3,10.3,51.3,0.12,40,250,0,128,100,20,35,-1614,-8218,654,-69,-75,192,29234,-114,39,831,256,4352,-7,0,0.0,37414,95,25,144,0,0,idle_no_slack,current,0.0000,800.0,12.496,0,-29234,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
0.0602,32087,5,MAX7,L,C719,Familiarization,95,rise_time,from_above,25.3,10.3,51.3,0.12,40,250,0,128,100,20,35,-2148,-8174,540,-42,80,34,29237,-111,0,809,224,4352,-7,0,0.0,37414,93,25,144,0,0,idle_no_slack,current,0.0000,800.0,12.496,0,-29237,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
0.0707,32097,6,MAX7,L,C719,Familiarization,95,rise_time,from_above,25.3,10.3,51.3,0.12,40,250,0,128,100,20,35,-276,-8170,894,-12,110,-52,29235,-113,0,804,224,4351,-8,0,0.0,37418,101,25,144,0,0,idle_no_slack,current,0.0000,800.0,12.495,0,-29235,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
0.0812,32107,7,MAX7,L,C719,Familiarization,95,rise_time,from_above,25.3,10.3,51.3,0.12,40,250,0,128,100,20,35,442,-8230,1154,-17,29,6,29234,-114,2,800,224,4351,-8,0,0.0,37417,98,25,144,0,0,idle_no_slack,current,0.0000,800.0,12.495,0,-29234,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
0.0916,32117,8,MAX7,L,C719,Familiarization,95,rise_time,from_above,25.3,10.3,51.3,0.12,40,250,0,128,100,20,35,-274,-8166,1110,-49,-43,81,29237,-111,13,801,224,4352,-7,0,0.0,37415,98,25,144,0,0,idle_no_slack,current,0.0000,800.0,12.496,0,-29237,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
0.1021,32127,9,MAX7,L,C719,Familiarization,95,rise_time,from_above,25.3,10.3,51.3,0.12,40,250,0,128,100,20,35,-1078,-8190,876,-52,-15,54,29238,-110,8,796,232,4352,-7,0,0.0,37420,100,25,144,0,0,idle_no_slack,current,0.0000,800.0,12.496,0,-29238,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
0.1127,32137,10,MAX7,L,C719,Familiarization,95,rise_time,from_above,25.3,10.3,51.3,0.12,40,250,0,128,100,20,35,-824,-8210,666,-37,58,-27,29239,-109,3,797,224,4351,-8,0,0.0,37424,107,25,144,0,0,idle_no_slack,current,0.0000,800.0,12.495,0,-29239,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
