wall_time_s,state_time_ms,loop_iter,participant_id,side,boot_id,phase,weight_kg,test_mode,approach,t_rise,t_fall,t_peak,peak_torque_norm,kp_cur,ki_cur,kd_cur,ff_cur,kp_pos,ki_pos,kd_pos,accelx,accely,accelz,gyrox,gyroy,gyroz_signed,mot_ang_raw,mot_ang_zeroed,mot_vel,mot_cur_meas_mA,mot_volt_mV,ank_ang_raw,ank_ang_zeroed,ank_vel,ank_vel_filt,batt_volt_mV,batt_curr_mA,temp_C,status_mn,status_ex,status_re,controller_mode,gains_mode,tau_Nm,current_cmd_mA,wm_wa,mot_pos_setpoint,mot_pos_error,num_gait,percent_gait,expected_dur_ms,current_dur_ms,hs_armed,armed_time_ms,refractory_ms,seg_trigger,arm_thr,trg_thr,stride_idx_in_phase
0.0000,30226,0,MAX7,R,C6D9,Familiarization,95,rise_time,from_above,25.3,10.3,51.3,0.12,40,250,0,128,100,20,35,-134,-8250,948,-47,43,-18,-11010,-371,6,2,0,3999,-31,0,0.0,37553,276,27,79,0,0,idle_no_slack,current,0.0000,-800.0,12.151,0,11010,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
0.0117,30236,1,MAX7,R,C6D9,Familiarization,95,rise_time,from_above,25.3,10.3,51.3,0.12,40,250,0,128,100,20,35,-170,-8252,936,-45,41,-16,-11011,-370,-1,0,0,3999,-31,0,0.0,37550,272,27,79,0,0,idle_no_slack,current,0.0000,-800.0,12.151,0,11011,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
0.0229,30256,2,MAX7,R,C6D9,Familiarization,95,rise_time,from_above,25.3,10.3,51.3,0.12,40,250,0,128,100,20,35,-928,-8042,1162,-46,161,267,-11156,-225,-271,-767,-744,3990,-22,-1,-0.09131490043583196,37543,288,27,79,0,0,idle_no_slack,current,0.0000,-800.0,12.158,0,11156,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
0.0337,30266,3,MAX7,R,C6D9,Familiarization,95,rise_time,from_above,25.3,10.3,51.3,0.12,40,250,0,128,100,20,35,-2056,-8128,1356,-111,504,321,-11254,-127,-177,-860,-472,3982,-14,0,-0.27233808805694154,37542,306,27,79,0,0,idle_no_slack,current,0.0000,-800.0,12.165,0,11254,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
0.0442,30276,4,MAX7,R,C6D9,Familiarization,95,rise_time,from_above,25.3,10.3,51.3,0.12,40,250,0,128,100,20,35,470,-8112,878,-106,187,255,-11291,-90,-47,-846,-288,3974,-6,0,-0.3271143849111663,37548,294,27,79,0,0,idle_no_slack,current,0.0000,-800.0,12.171,0,11291,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
0.0546,30286,5,MAX7,R,C6D9,Familiarization,95,rise_time,from_above,25.3,10.3,51.3,0.12,40,250,0,128,100,20,35,2140,-8174,598,-71,25,89,-11300,-81,-17,-804,-264,3973,-5,0,-0.22667653782833924,37550,294,27,79,0,0,idle_no_slack,current,0.0000,-800.0,12.172,0,11300,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
0.0653,30296,6,MAX7,R,C6D9,Familiarization,95,rise_time,from_above,25.3,10.3,51.3,0.12,40,250,0,128,100,20,35,766,-8286,606,-20,-71,-101,-11305,-76,-12,-797,-256,3974,-6,0,-0.10896199213249556,37550,284,27,79,0,0,idle_no_slack,current,0.0000,-800.0,12.171,0,11305,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
0.0757,30306,7,MAX7,R,C6D9,Familiarization,95,rise_time,from_above,25.3,10.3,51.3,0.12,40,250,0,128,100,20,35,-788,-8188,828,4,-28,-95,-11303,-78,6,-809,-240,3973,-5,0,-0.028237304271883895,37544,282,27,79,0,0,idle_no_slack,current,0.0000,-800.0,12.172,0,11303,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
0.0860,30316,8,MAX7,R,C6D9,Familiarization,95,rise_time,from_above,25.3,10.3,51.3,0.12,40,250,0,128,100,20,35,-1028,-8212,1088,-29,70,34,-11303,-78,-5,-793,-248,3974,-6,0,0.010141822720111247,37545,277,27,79,0,0,idle_no_slack,current,0.0000,-800.0,12.171,0,11303,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
0.0966,30326,9,MAX7,R,C6D9,Familiarization,95,rise_time,from_above,25.3,10.3,51.3,0.12,40,250,0,128,100,20,35,-202,-8266,1158,-30,85,66,-11303,-78,-1,-795,-264,3972,-4,0,0.019780518932148394,37546,276,27,79,0,0,idle_no_slack,current,0.0000,-800.0,12.172,0,11303,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
