wall_time_s,state_time_ms,loop_iter,participant_id,side,boot_id,phase,weight_kg,test_mode,approach,t_rise,t_fall,t_peak,peak_torque_norm,kp_cur,ki_cur,kd_cur,ff_cur,kp_pos,ki_pos,kd_pos,accelx,accely,accelz,gyrox,gyroy,gyroz_signed,mot_ang_raw,mot_ang_zeroed,mot_vel,mot_cur_meas_mA,mot_volt_mV,ank_ang_raw,ank_ang_zeroed,ank_vel,ank_vel_filt,batt_volt_mV,batt_curr_mA,temp_C,status_mn,status_ex,status_re,controller_mode,gains_mode,tau_Nm,current_cmd_mA,wm_wa,mot_pos_setpoint,mot_pos_error,num_gait,percent_gait,expected_dur_ms,current_dur_ms,hs_armed,armed_time_ms,refractory_ms,seg_trigger,arm_thr,trg_thr,stride_idx_in_phase
0.0000,132817,0,SAV3,R,C6D9,Familiarization,68,rise_time,from_above,25.3,10.3,51.3,0.12,40,400,0,128,100,20,35,208,-8250,826,-59,50,-32,-11819,-1095,3,1,0,3939,-112,0,0.0,36845,295,27,79,0,0,idle_no_slack,current,0.0000,-800.0,12.197,0,11819,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
0.0106,132837,1,SAV3,R,C6D9,Familiarization,68,rise_time,from_above,25.3,10.3,51.3,0.12,40,400,0,128,100,20,35,198,-8270,850,-61,52,-20,-11820,-1094,-4,-133,-304,3939,-112,0,0.0,36853,288,27,79,0,0,idle_no_slack,current,0.0000,-800.0,12.197,0,11820,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
0.0209,132847,2,SAV3,R,C6D9,Familiarization,68,rise_time,from_above,25.3,10.3,51.3,0.12,40,400,0,128,100,20,35,400,-8318,870,-59,83,60,-11894,-1020,-227,-747,-672,3933,-106,-1,-0.09131490043583196,36852,291,27,79,0,0,idle_no_slack,current,0.0000,-800.0,12.201,0,11894,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
0.0311,132857,3,SAV3,R,C6D9,Familiarization,68,rise_time,from_above,25.3,10.3,51.3,0.12,40,400,0,128,100,20,35,-2318,-8424,728,-124,536,312,-12000,-914,-221,-834,-536,3920,-93,-1,-0.3636529884927735,36851,310,27,79,0,0,idle_no_slack,current,0.0000,-800.0,12.211,0,12000,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
0.0414,132867,4,SAV3,R,C6D9,Familiarization,68,rise_time,from_above,25.3,10.3,51.3,0.12,40,400,0,128,100,20,35,-1246,-8500,970,-183,920,397,-12065,-849,-118,-827,-368,3908,-81,-1,-0.6907673734039399,36840,317,27,79,0,0,idle_no_slack,current,0.0000,-800.0,12.219,0,12065,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
0.0517,132877,5,SAV3,R,C6D9,Familiarization,68,rise_time,from_above,25.3,10.3,51.3,0.12,40,400,0,128,100,20,35,1446,-8110,614,-99,515,415,-12109,-805,-93,-792,-408,3897,-70,-1,-0.917443911232279,36839,320,27,79,0,0,idle_no_slack,current,0.0000,-800.0,12.227,0,12109,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
0.0621,132887,6,SAV3,R,C6D9,Familiarization,68,rise_time,from_above,25.3,10.3,51.3,0.12,40,400,0,128,100,20,35,2260,-8258,296,-64,94,288,-12174,-740,-143,-803,-432,3891,-64,0,-0.9350910029289425,36839,318,28,79,0,0,idle_no_slack,current,0.0000,-800.0,12.231,0,12174,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
0.0725,132897,7,SAV3,R,C6D9,Familiarization,68,rise_time,from_above,25.3,10.3,51.3,0.12,40,400,0,128,100,20,35,778,-8206,724,-23,-43,22,-12214,-700,-55,-828,-264,3888,-61,0,-0.6909902191438848,36840,315,27,79,0,0,idle_no_slack,current,0.0000,-800.0,12.233,0,12214,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
0.0829,132907,8,SAV3,R,C6D9,Familiarization,68,rise_time,from_above,25.3,10.3,51.3,0.12,40,400,0,128,100,20,35,518,-8250,1038,-11,-21,-73,-12202,-712,38,-809,-208,3890,-63,0,-0.35373401151260725,36843,320,27,79,0,0,idle_no_slack,current,0.0000,-800.0,12.231,0,12202,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
0.0932,132917,9,SAV3,R,C6D9,Familiarization,68,rise_time,from_above,25.3,10.3,51.3,0.12,40,400,0,128,100,20,35,100,-8148,1004,-61,-6,-29,-12197,-717,-16,-788,-256,3889,-62,0,-0.10727695475211965,36844,312,27,79,0,0,idle_no_slack,current,0.0000,-800.0,12.232,0,12197,0,-1.00,-1,-1,0,-1,650,0,3280,-3280,0
