wall_time_s,state_time_ms,loop_iter,participant_id,side,boot_id,phase,weight_kg,test_mode,approach,t_rise,t_fall,t_peak,peak_torque_norm,kp_cur,ki_cur,kd_cur,ff_cur,kp_pos,ki_pos,kd_pos,accelx,accely,accelz,gyrox,gyroy,gyroz_signed,mot_ang_raw,mot_ang_zeroed,mot_vel,mot_cur_meas_mA,mot_volt_mV,ank_ang_raw,ank_ang_zeroed,ank_vel,ank_vel_filt,batt_volt_mV,batt_curr_mA,temp_C,status_mn,status_ex,status_re,controller_mode,gains_mode,tau_Nm,current_cmd_mA,wm_wa,mot_pos_setpoint,mot_pos_error,num_gait,percent_gait,expected_dur_ms,current_dur_ms,hs_armed,armed_time_ms,refractory_ms,seg_trigger,arm_thr,trg_thr,stride_idx_in_phase
0.0000,84906,0,SAV_SavPerception_1,L,C719,Perception,68,peak_time,from_above,25.299999999999997,10.300000000000004,51.3,0.18,40,250,0,128,100,20,35,48,-5108,2014,514,3287,-4951,23079,-5114,308,241,344,4084,-190,2,6.855238981511327,35503,86,26,79,0,0,early_stance_no_slack,current,0.0000,800.0,12.317,0,-23079,10,1.01,990,1020,0,-1,650,0,3280,-3280,1
0.0165,84936,1,SAV_SavPerception_1,L,C719,Perception,68,peak_time,from_above,25.299999999999997,10.300000000000004,51.3,0.18,40,250,0,128,100,20,35,1056,-5914,840,-1411,1631,-3216,23436,-4757,378,687,1104,4261,-13,7,6.548025051799439,35494,115,25,79,0,0,early_stance_no_slack,current,0.0000,800.0,12.446,0,-23436,10,4.04,990,1020,0,-1,650,0,3280,-3280,1
0.0269,84946,2,SAV_SavPerception_1,L,C719,Perception,68,peak_time,from_above,25.299999999999997,10.300000000000004,51.3,0.18,40,250,0,128,100,20,35,470,-10252,-136,-1367,1125,-3222,23695,-4498,652,795,1880,4330,56,6,6.058416186584911,35494,104,25,79,0,0,early_stance_no_slack,current,0.0000,800.0,12.485,0,-23695,10,5.05,990,1020,0,-1,650,0,3280,-3280,1
0.0373,84956,3,SAV_SavPerception_1,L,C719,Perception,68,peak_time,from_above,25.299999999999997,10.300000000000004,51.3,0.18,40,250,0,128,100,20,35,3416,-8946,-1920,-1097,234,-3459,24087,-4106,955,846,2544,4388,114,5,5.866859054089828,35489,108,26,79,0,0,early_stance_no_slack,current,0.0000,800.0,12.512,0,-24087,10,6.06,990,1020,0,-1,650,0,3280,-3280,1
0.0475,84966,4,SAV_SavPerception_1,L,C719,Perception,68,peak_time,from_above,25.299999999999997,10.300000000000004,51.3,0.18,40,250,0,128,100,20,35,3406,-9594,-2118,-928,-374,-3486,24619,-3574,1255,840,3248,4432,158,4,5.483632675119812,35487,124,26,79,0,0,early_stance_no_slack,current,0.0000,800.0,12.528,0,-24619,10,7.07,990,1020,0,-1,650,0,3280,-3280,1
0.0578,84976,5,SAV_SavPerception_1,L,C719,Perception,68,peak_time,from_above,25.299999999999997,10.300000000000004,51.3,0.18,40,250,0,128,100,20,35,4402,-10718,-2118,-436,-569,-3279,25266,-2927,1489,806,3760,4463,189,3,4.8084870447099535,35488,160,26,79,0,0,early_stance_no_slack,current,0.0000,800.0,12.538,0,-25266,10,8.08,990,1020,0,-1,650,0,3280,-3280,1
0.0681,84986,6,SAV_SavPerception_1,L,C719,Perception,68,peak_time,from_above,25.299999999999997,10.300000000000004,51.3,0.18,40,250,0,128,100,20,35,4924,-12062,-898,96,-474,-3551,25992,-2201,1635,758,4216,4478,204,0,3.7305652139507046,35487,183,26,79,0,0,early_stance_no_slack,current,0.0000,800.0,12.542,0,-25992,10,9.09,990,1020,0,-1,650,0,3280,-3280,1
0.0783,84996,7,SAV_SavPerception_1,L,C719,Perception,68,peak_time,from_above,25.299999999999997,10.300000000000004,51.3,0.18,40,250,0,128,100,20,35,4408,-7746,-1194,150,-363,-3701,26785,-1408,1794,752,4704,4475,201,-1,2.1758141315870145,35477,178,26,79,0,0,early_stance_no_slack,current,0.0000,800.0,12.541,0,-26785,10,10.10,990,1020,0,-1,650,0,3280,-3280,1
0.0887,85006,8,SAV_SavPerception_1,L,C719,Perception,68,peak_time,from_above,25.299999999999997,10.300000000000004,51.3,0.18,40,250,0,128,100,20,35,1906,-8118,1310,30,-405,-3860,27672,-521,2024,788,5272,4456,182,-2,0.47528437772659227,35459,190,26,79,0,0,early_stance_no_slack,current,0.0000,800.0,12.536,0,-27672,10,11.11,990,1020,0,-1,650,0,3280,-3280,1
0.0993,85016,9,SAV_SavPerception_1,L,C719,Perception,68,peak_time,from_above,25.299999999999997,10.300000000000004,51.3,0.18,40,250,0,128,100,20,35,5262,-10982,4002,-214,-544,-4167,28684,491,2312,857,5800,4428,154,-3,-1.0200523566162913,35442,202,26,79,0,0,early_stance_no_slack,current,0.0000,800.0,12.527,0,-28684,10,12.12,990,1020,0,-1,650,0,3280,-3280,1
